Individual code	Accession	Origin	URL
TS-247	SRX698548	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572406/SRR1572406.1
TS-249	SRX698768	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572626/SRR1572626.1
TS-256	SRX698772	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572630/SRR1572630.1
TS-261	SRX698774	Brazil	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572632/SRR1572632.1
TS-262	SRX698558	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572416/SRR1572416.1
TS-265	SRX698399	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572257/SRR1572257.1
TS-266	SRX698400	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572258/SRR1572258.1
TS-267	SRX698401	Bolivia	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572259/SRR1572259.1
TS-273	SRX698560	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572418/SRR1572418.1
TS-281	SRX698563	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572421/SRR1572421.1
TS-289*	SRX698569	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572427/SRR1572427.1
TS-290	SRX698570	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-1/SRR1572428/SRR1572428.1
TS-291	SRX698404	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572262/SRR1572262.1
TS-295	SRX698573	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572431/SRR1572431.1
TS-298	SRX698575	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572433/SRR1572433.1
TS-299	SRX698577	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572435/SRR1572435.1
TS-300	SRX698579	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572437/SRR1572437.1
TS-301	SRX698580	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572438/SRR1572438.1
TS-302	SRX698581	Brazil	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572439/SRR1572439.1
TS-304	SRX698584	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572442/SRR1572442.1
TS-402	SRX698835	Peru	 https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572693/SRR1572693.1
TS-403	SRX698836	Chile	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572694/SRR1572694.1
TS-404	SRX698837	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572695/SRR1572695.1
TS-408	SRX698838	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572696/SRR1572696.1
TS-411	SRX698408	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572266/SRR1572266.1
TS-413	SRX698411	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572269/SRR1572269.1
TS-414	SRX698412	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572270/SRR1572270.1
TS-415	SRX698413	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572271/SRR1572271.1
TS-417	SRX698415	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572273/SRR1572273.1
TS-418	SRX698416	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572274/SRR1572274.1
TS-419	SRX698417	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572275/SRR1572275.1
TS-420	SRX698418	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572276/SRR1572276.1
TS-421	SRX698419	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572277/SRR1572277.1
TS-423*	SRX698585	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572443/SRR1572443.1
TS-425	SRX698423	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572281/SRR1572281.1
TS-426*	SRX698587	Ecuador 	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572445/SRR1572445.1
TS-427*	SRX698588	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572446/SRR1572446.1
TS-428*	SRX698589	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572447/SRR1572447.1
TS-429	SRX698424	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572282/SRR1572282.1
TS-430*	SRX698591	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572449/SRR1572449.1
TS-431*	SRX698592	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572450/SRR1572450.1
TS-432	SRX698426	Mexico	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572284/SRR1572284.1
TS-434	SRX698429	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572287/SRR1572287.1
TS-435	SRX698430	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572288/SRR1572288.1
TS-437	SRX698431	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572289/SRR1572289.1
TS-439	SRX698434	Peru	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572292/SRR1572292.1
TS-440	SRX698435	Ecuador	https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos1/sra-pub-run-5/SRR1572293/SRR1572293.1
